datetime,T_out,RH_out,Wind_speed_m_per_s,Wind_direction_deg,Diffuse_Solar_W_per_m2,Direct_Solar_W_per_m2,Electricity_kWh,NaturalGas_kWh
2021-01-01 00:00:00,-12.2,73.0,2.6,270.0,0.0,0.0,262.7295476041683,643.4484336614858
2021-01-01 01:00:00,-11.7,73.0,2.6,250.0,0.0,0.0,237.92874944061847,2.189674963635346
2021-01-01 02:00:00,-11.1,73.0,2.1,240.0,0.0,0.0,264.8470174378613,742.1067680610694
2021-01-01 03:00:00,-11.1,73.0,2.6,230.0,0.0,0.0,237.92875036951767,2.189632016613356
2021-01-01 04:00:00,-10.6,73.0,2.6,240.0,0.0,0.0,277.0990187347729,746.1251049690156
2021-01-01 05:00:00,-10.6,73.0,2.6,210.0,0.0,0.0,274.5968476249098,2.1926166699304366
2021-01-01 06:00:00,-10.6,77.0,3.1,180.0,0.0,0.0,350.48783327937207,769.4430798181198
2021-01-01 07:00:00,-10.0,77.0,2.6,180.0,10.0,22.0,296.6665306195843,2.189688743888074
2021-01-01 08:00:00,-8.9,71.0,3.1,190.0,47.0,397.0,323.29714476720096,575.7023307879417
2021-01-01 09:00:00,-6.7,60.0,5.7,220.0,71.0,587.0,259.9999372608419,2.1896711456014093
2021-01-01 10:00:00,-5.0,63.0,5.7,210.0,80.0,688.0,237.42686365076415,389.3505743064445
2021-01-01 11:00:00,-3.3,63.0,5.7,220.0,144.0,521.0,211.11215000364552,4.3632609715175175
2021-01-01 12:00:00,-2.2,63.0,5.2,230.0,168.0,151.0,237.305194384212,332.55169403409747
2021-01-01 13:00:00,-1.1,61.0,4.1,260.0,161.0,54.0,211.1136564842664,6.5436918330918346
2021-01-01 14:00:00,-1.1,64.0,3.1,260.0,93.0,93.0,237.25106973173692,324.71536624336653
2021-01-01 15:00:00,-1.1,69.0,1.5,210.0,43.0,36.0,211.1111456840031,2.189687120768414
2021-01-01 16:00:00,-1.1,69.0,0.0,0.0,0.0,0.0,337.4879941198262,406.001194179152
2021-01-01 17:00:00,-1.7,72.0,0.0,0.0,0.0,0.0,347.92853038621604,2.1896088737173627
2021-01-01 18:00:00,-2.2,75.0,2.1,160.0,0.0,0.0,374.2494727761817,474.62399018658294
2021-01-01 19:00:00,-1.1,72.0,2.6,160.0,0.0,0.0,323.48413486442246,2.189692474658669
2021-01-01 20:00:00,-1.7,78.0,0.0,0.0,0.0,0.0,349.7971371360509,465.52268757990106
2021-01-01 21:00:00,-1.1,75.0,2.6,160.0,0.0,0.0,299.04124650644314,4.365291098510562
2021-01-01 22:00:00,-1.7,78.0,2.6,180.0,0.0,0.0,300.9541370798176,495.8598057480751
2021-01-01 23:00:00,-1.7,72.0,2.6,190.0,0.0,0.0,250.15094799346082,2.1896881196848352
2021-01-02 00:00:00,-3.9,85.0,2.1,170.0,0.0,0.0,314.17288276087635,513.6833520278191
2021-01-02 01:00:00,-2.8,78.0,3.1,200.0,0.0,0.0,287.76998138358,2.190697028423844
2021-01-02 02:00:00,-3.3,78.0,2.6,180.0,0.0,0.0,314.18514262216524,514.4222593066484
2021-01-02 03:00:00,-2.8,78.0,2.1,120.0,0.0,0.0,287.769980217788,2.1907427325461963
2021-01-02 04:00:00,-1.1,72.0,3.6,190.0,0.0,0.0,326.3589015468305,480.60646810713973
2021-01-02 05:00:00,-1.1,72.0,3.1,210.0,0.0,0.0,349.3584449162737,4.367138314847
2021-01-02 06:00:00,-0.6,69.0,2.6,200.0,0.0,0.0,431.1725953147922,1861.8564804976572
2021-01-02 07:00:00,-0.6,69.0,2.6,190.0,8.0,0.0,506.0675696952158,2311.577510399847
2021-01-02 08:00:00,0.0,69.0,3.6,180.0,45.0,5.0,1050.85288006129,1803.6211987267761
